survey,survey_n,model_sedimentation_class,mean_delta_cm,p01_delta_cm,p10_delta_cm,p25_delta_cm,median_delta_cm,p75_delta_cm,p90_delta_cm,p99_delta_cm,min_delta_cm,max_delta_cm,range_delta_cm,survey_start_date,survey_end_date,survey_dates,expected_meter_positions,measured_meter_positions,pct_meter_positions_measured
Con6,6,0 cm predicted (outside),-0.4883805374001451,-3.736666666666667,-1.8333333333333333,-1,-0.3333333333333333,0,0.33333333333333337,2.0700000000000025,-5.5,5.333333333333333,10.833333333333332,2025-12-29,2025-12-29,2025-12-29,459,459,1
Con7,7,1.0 cm predicted (dashed red),-0.3774509803921568,-4.333333333333334,-2.65,-1.5,-0.49999999999999994,0.7916666666666664,1.666666666666667,3.8333333333333335,-5.5,4.833333333333333,10.333333333333332,2026-01-07,2026-01-07,2026-01-07,102,102,1
Con7,7,1.5 mm predicted (solid red),0.1405228758169935,-2.665,-1.1666666666666665,-0.3333333333333333,0.16666666666666669,0.8333333333333334,1.3333333333333335,2.329999999999998,-3,2.5,5.5,2026-01-07,2026-01-07,2026-01-07,102,102,1
Con7,7,0 cm predicted (outside),-0.36419753086419765,-3.166666666666667,-1.666666666666667,-0.8333333333333334,-0.16666666666666669,0.16666666666666666,0.6999999999999982,3,-4.833333333333333,5,9.833333333333332,2026-01-07,2026-01-07,2026-01-07,459,459,1
Con8,8,1.0 cm predicted (dashed red),-0.215686274509804,-5.995,-1.8166666666666664,-1.2916666666666667,-0.16666666666666663,0.8333333333333334,1.9833333333333343,3.8316666666666652,-8.5,5.333333333333334,13.833333333333334,2026-01-15,2026-01-17,"2026-01-15, 2026-01-17",102,102,1
Con8,8,1.5 mm predicted (solid red),0.8529411764705881,-2.3333333333333335,-0.9666666666666662,-0.16666666666666669,0.3333333333333333,1.125,2.150000000000001,11.159999999999998,-2.6666666666666665,15.166666666666666,17.833333333333332,2026-01-15,2026-01-17,"2026-01-15, 2026-01-17",102,102,1
Con8,8,0 cm predicted (outside),-0.3387799564270152,-3.236666666666667,-1.6666666666666667,-0.8333333333333334,-0.16666666666666669,0.16666666666666666,0.6999999999999982,2.4733333333333385,-6.5,5.666666666666666,12.166666666666666,2026-01-15,2026-01-15,2026-01-15,459,459,1
Con9,9,1.0 cm predicted (dashed red),-0.15849673202614362,-4.991666666666667,-2.5,-0.8333333333333335,0,0.7916666666666665,1.666666666666667,5.488333333333327,-8.5,7.666666666666666,16.166666666666664,2026-01-24,2026-01-24,2026-01-24,102,102,1
Con9,9,1.5 mm predicted (solid red),1.4509803921568627,-2.5,-0.8333333333333334,0,0.33333333333333337,1.5,6,11.416666666666666,-2.6666666666666665,11.833333333333332,14.499999999999998,2026-01-24,2026-01-24,2026-01-24,51,51,1
Con9,9,0 cm predicted (outside),-0.2171387073347858,-3.6399999999999997,-1.5333333333333328,-0.6666666666666666,-0.16666666666666666,0.3333333333333333,1,2.6666666666666665,-6.333333333333334,3.3333333333333335,9.666666666666668,2026-01-24,2026-01-24,2026-01-24,459,459,1
Con10,10,1.0 cm predicted (dashed red),-0.01960784313725488,-5.163333333333333,-2.1666666666666665,-1,0.16666666666666669,1.125,2.150000000000001,4.323333333333329,-7.666666666666666,5.333333333333332,12.999999999999998,2026-02-05,2026-02-05,2026-02-05,102,102,1
Con10,10,1.5 mm predicted (solid red),0.022875816993464138,-2.665,-1.166666666666667,-0.4583333333333332,0,0.6666666666666667,1.1666666666666667,2,-2.6666666666666665,3,5.666666666666666,2026-02-05,2026-02-05,2026-02-05,102,102,1
Con10,10,0 cm predicted (outside),-0.32534495279593323,-3.57,-1.6999999999999993,-0.8333333333333335,-0.16666666666666669,0.16666666666666666,0.8333333333333334,3.1400000000000055,-8.666666666666668,5.666666666666667,14.333333333333336,2026-02-05,2026-02-05,2026-02-05,459,459,1
Con11,11,1.0 cm predicted (dashed red),6.9319576777826e-17,-5.826666666666667,-1.9833333333333332,-0.8333333333333335,0.1666666666666667,1.1666666666666665,2,2.9983333333333326,-6.333333333333334,6,12.333333333333334,2026-02-12,2026-02-12,2026-02-12,102,102,1
Con11,11,1.5 mm predicted (solid red),0.24019607843137247,-2.66,-0.8333333333333334,-0.16666666666666669,0.1666666666666667,0.6666666666666667,1.5,2.666666666666667,-3,3.5,6.5,2026-02-12,2026-02-12,2026-02-12,102,102,1
Con11,11,0 cm predicted (outside),-0.31771968046477833,-3.8499999999999996,-1.666666666666667,-0.8333333333333334,-0.16666666666666666,0.16666666666666669,0.8333333333333334,3.306666666666672,-8.333333333333334,5.5,13.833333333333334,2026-02-12,2026-02-12,2026-02-12,459,459,1
Con12,12,1.0 cm predicted (dashed red),-0.4673202614379085,-5.495,-2.666666666666667,-1.1666666666666665,-0.2500000000000001,0.3333333333333335,1.6666666666666667,3.6649999999999996,-9,3.9999999999999996,13,2026-02-20,2026-02-20,2026-02-20,102,102,1
Con12,12,1.5 mm predicted (solid red),0.42647058823529416,-2.8316666666666666,-1.1666666666666667,-0.16666666666666669,0.16666666666666666,0.6666666666666666,1.9833333333333343,7.478333333333322,-2.8333333333333335,8.333333333333332,11.166666666666666,2026-02-20,2026-02-20,2026-02-20,102,102,1
Con12,12,0 cm predicted (outside),-0.41067538126361675,-3.4033333333333333,-1.6666666666666667,-0.8333333333333334,-0.16666666666666669,0.16666666666666657,0.5,1.6666666666666667,-5.333333333333334,3.833333333333333,9.166666666666668,2026-02-20,2026-02-20,2026-02-20,459,459,1
Con20,20,1.0 cm predicted (dashed red),-0.6013071895424836,-5.826666666666667,-3.1499999999999995,-1.5,-0.5,0.33333333333333337,1.4833333333333343,4.164999999999999,-6,4.333333333333334,10.333333333333334,2026-03-10,2026-03-10,2026-03-10,102,102,1
Con20,20,1.5 mm predicted (solid red),0.17483660130718956,-2.666666666666667,-1.3333333333333333,-0.45833333333333337,0.16666666666666666,0.6666666666666667,1.300000000000002,3.99333333333333,-3.166666666666667,5.666666666666667,8.833333333333334,2026-03-10,2026-03-10,2026-03-10,102,102,1
Con20,20,0 cm predicted (outside),-0.3162672476397967,-3.666666666666667,-1.6666666666666665,-0.6666666666666667,-0.16666666666666666,0.16666666666666669,0.6666666666666667,2.5,-7.166666666666667,3.3333333333333335,10.5,2026-03-10,2026-03-10,2026-03-10,459,459,1
Con22,22,1.0 cm predicted (dashed red),-0.6666666666666667,-5.488333333333333,-2.5,-1.3333333333333333,-0.3333333333333334,0.29166666666666663,1.150000000000001,1.8333333333333333,-6.333333333333334,2.833333333333333,9.166666666666668,2026-03-24,2026-03-24,2026-03-24,102,102,1
Con22,22,1.5 mm predicted (solid red),0.19607843137254902,-2.331666666666666,-1.3333333333333333,-0.3333333333333333,0.16666666666666663,0.5,1.1666666666666667,5.4833333333333245,-2.833333333333333,7.500000000000001,10.333333333333334,2026-03-24,2026-03-24,2026-03-24,102,102,1
Con22,22,0 cm predicted (outside),-0.18845315904139445,-3.07,-1.5,-0.6666666666666666,-0.16666666666666652,0.33333333333333337,0.8666666666666647,2.903333333333336,-8.333333333333334,5.833333333333334,14.166666666666668,2026-03-24,2026-03-24,2026-03-24,459,459,1
Con24,24,1.0 cm predicted (dashed red),-0.6209150326797386,-5.823333333333334,-2.816666666666667,-1.625,-0.41666666666666663,0.3333333333333333,1.3166666666666675,3.6549999999999936,-7.833333333333333,4.333333333333334,12.166666666666668,2026-04-07,2026-04-07,2026-04-07,102,102,1
Con24,24,1.5 mm predicted (solid red),-0.12745098039215688,-3.166666666666667,-1.483333333333333,-0.5,-0.08333333333333331,0.5,1,1.664999999999999,-3.3333333333333335,3.3333333333333335,6.666666666666667,2026-04-07,2026-04-07,2026-04-07,102,102,1
Con24,24,0 cm predicted (outside),-0.3995098039215687,-4.000000000000001,-1.6666666666666665,-0.8333333333333334,-0.25,0.16666666666666666,0.6666666666666667,2.6433333333333353,-5.333333333333333,4.166666666666667,9.5,2026-04-07,2026-04-07,2026-04-07,408,408,1
Con25,25,1.0 cm predicted (dashed red),-0.761437908496732,-5.163333333333333,-2.983333333333333,-1.6666666666666665,-0.6666666666666666,0.3333333333333332,1.3166666666666678,3.6583333333333297,-6.666666666666666,4.833333333333334,11.5,2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",102,102,1
Con25,25,1.5 mm predicted (solid red),-0.3055555555555555,-3.163333333333334,-1.4833333333333332,-0.625,-0.16666666666666669,0.16666666666666666,0.5,2.164999999999999,-3.3333333333333335,2.5,5.833333333333334,2026-04-17,2026-04-17,2026-04-17,102,102,1
Con25,25,0 cm predicted (outside),-0.4880174291938997,-3.9033333333333333,-1.8333333333333333,-1,-0.3333333333333333,0,0.5,2,-6.333333333333334,3.8333333333333335,10.166666666666668,2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",459,459,1
