survey,survey_n,model_sedimentation_class,mean_delta_cm,p01_delta_cm,p10_delta_cm,p25_delta_cm,median_delta_cm,p75_delta_cm,p90_delta_cm,p99_delta_cm,min_delta_cm,max_delta_cm,range_delta_cm,survey_start_date,survey_end_date,survey_dates,expected_meter_positions,measured_meter_positions,pct_meter_positions_measured
Con1,1,1.0 cm predicted (dashed red),-0.6437908496732028,-5.486666666666667,-2.8333333333333335,-1.6666666666666667,-0.5,0.1666666666666666,1,3.8216666666666606,-6.666666666666667,7,13.666666666666668,2025-11-06,2025-11-06,2025-11-06,102,102,1
Con1,1,1.5 mm predicted (solid red),-0.15522875816993464,-2.5,-1.1666666666666667,-0.6666666666666666,-0.08333333333333326,0.3333333333333333,0.9833333333333343,1.5,-3,2.166666666666667,5.166666666666667,2025-11-06,2025-11-06,2025-11-06,102,102,1
Con1,1,0 cm predicted (outside),-0.2726942628903414,-3,-1.5333333333333325,-0.75,-0.16666666666666666,0.16666666666666666,0.8333333333333334,2.3333333333333335,-4.166666666666667,6.833333333333334,11,2025-11-06,2025-11-07,"2025-11-06, 2025-11-07",459,459,1
Con2,2,1.0 cm predicted (dashed red),-0.9019607843137254,-5.658333333333333,-3.3166666666666664,-1.666666666666667,-0.7499999999999998,0.2916666666666667,1,2.4983333333333326,-10,2.666666666666667,12.666666666666668,2025-11-17,2025-11-17,2025-11-17,102,102,1
Con2,2,1.5 mm predicted (solid red),0.10947712418300654,-2.33,-0.9833333333333332,-0.3333333333333333,0,0.6666666666666666,1.1666666666666667,2.164999999999999,-2.3333333333333335,2.666666666666667,5,2025-11-17,2025-11-17,2025-11-17,102,102,1
Con2,2,0 cm predicted (outside),-0.37145969498910675,-3.4033333333333333,-1.6666666666666665,-0.8333333333333334,-0.16666666666666674,0.08333333333333326,0.5,2.903333333333336,-5.5,6,11.5,2025-11-17,2025-11-17,2025-11-17,459,459,1
Con3,3,1.0 cm predicted (dashed red),-0.8071895424836601,-5.491666666666667,-2.9666666666666663,-1.5,-0.6666666666666667,0,1.1500000000000008,3.4949999999999974,-5.833333333333334,5.166666666666666,11,2025-11-26,2025-11-26,2025-11-26,102,102,1
Con3,3,1.5 mm predicted (solid red),-0.03431372549019605,-2.995,-1.1666666666666667,-0.45833333333333337,0,0.3333333333333335,1.1500000000000008,2.666666666666667,-3.1666666666666665,3.9999999999999996,7.166666666666666,2025-11-26,2025-11-26,2025-11-26,102,102,1
Con3,3,0 cm predicted (outside),-0.36310820624546114,-3,-1.6666666666666665,-0.8333333333333333,-0.16666666666666669,0,0.5,2.0433333333333414,-4,3.5,7.5,2025-11-26,2025-11-26,2025-11-26,459,459,1
Con4,4,1.0 cm predicted (dashed red),-0.6307189542483661,-6.146666666666667,-2.483333333333333,-1.5,-0.3333333333333334,0.33333333333333337,1.3166666666666678,3.329999999999998,-9.166666666666666,3.5,12.666666666666666,2025-12-05,2025-12-05,2025-12-05,102,102,1
Con4,4,1.5 mm predicted (solid red),-0.013071895424836616,-2.3333333333333335,-1.3333333333333333,-0.33333333333333337,0,0.45833333333333337,0.9833333333333345,2.8316666666666657,-2.5,3.6666666666666665,6.166666666666666,2025-12-05,2025-12-05,2025-12-05,102,102,1
Con4,4,0 cm predicted (outside),-0.3485838779956427,-2.9033333333333333,-1.5333333333333325,-0.8333333333333334,-0.3333333333333333,0,0.5,3.236666666666669,-5,9.333333333333332,14.333333333333332,2025-12-05,2025-12-05,2025-12-05,459,459,1
Con5,5,1.0 cm predicted (dashed red),-1.0849673202614378,-5.833333333333334,-2.5,-1.5,-1,-0.16666666666666666,0.16666666666666674,1.9166666666666667,-7.333333333333334,2.1666666666666665,9.5,2025-12-14,2025-12-14,2025-12-14,51,51,1
Con5,5,1.5 mm predicted (solid red),-0.08496732026143788,-2.9966666666666666,-1.3166666666666664,-0.5,0,0.33333333333333337,1.1500000000000008,2.3333333333333335,-3.166666666666667,3.166666666666667,6.333333333333334,2025-12-14,2025-12-14,2025-12-14,102,102,1
Con5,5,0 cm predicted (outside),-0.5026143790849673,-3.333333333333334,-1.6666666666666667,-0.8333333333333335,-0.16666666666666674,0,0.3333333333333333,1.9866666666666692,-4.833333333333333,2.8333333333333335,7.666666666666666,2025-12-14,2025-12-14,2025-12-14,255,255,1
Con6,6,1.0 cm predicted (dashed red),-0.5114379084967319,-6.4783333333333335,-2.6499999999999995,-1.458333333333333,-0.5,0.3333333333333333,1.983333333333334,3.8299999999999987,-7,6.166666666666667,13.166666666666668,2025-12-29,2025-12-29,2025-12-29,102,102,1
Con6,6,1.5 mm predicted (solid red),0.029411764705882377,-2.1666666666666665,-1.3166666666666662,-0.33333333333333337,0.08333333333333331,0.5,1,1.8316666666666659,-2.3333333333333335,3,5.333333333333334,2025-12-29,2025-12-29,2025-12-29,102,102,1
