survey,survey_n,survey_start_date,survey_end_date,survey_dates,model_sedimentation_class,pct_measured_below baseline,pct_measured_0 to 1.5 mm,pct_measured_>1.5 to 5 mm,pct_measured_>5 mm to 1 cm,pct_measured_1-5 cm,pct_measured_5-10 cm,pct_measured_>10 cm
Con1,1,2025-11-06,2025-11-06,2025-11-06,1.0 cm predicted (dashed red),66.66666666666666,4.901960784313726,11.76470588235294,6.862745098039216,8.823529411764707,0.9803921568627451,0
Con1,1,2025-11-06,2025-11-06,2025-11-06,1.5 mm predicted (solid red),50,9.803921568627452,23.52941176470588,8.823529411764707,7.8431372549019605,0,0
Con1,1,2025-11-06,2025-11-07,"2025-11-06, 2025-11-07",0 cm predicted (outside),54.68409586056645,14.37908496732026,17.21132897603486,5.88235294117647,7.4074074074074066,0.4357298474945534,0
Con2,2,2025-11-17,2025-11-17,2025-11-17,1.0 cm predicted (dashed red),65.68627450980392,4.901960784313726,11.76470588235294,7.8431372549019605,9.803921568627452,0,0
Con2,2,2025-11-17,2025-11-17,2025-11-17,1.5 mm predicted (solid red),38.23529411764706,15.686274509803921,17.647058823529413,12.745098039215685,15.686274509803921,0,0
Con2,2,2025-11-17,2025-11-17,2025-11-17,0 cm predicted (outside),59.04139433551199,15.904139433551197,16.122004357298476,4.357298474945534,4.357298474945534,0.2178649237472767,0
Con3,3,2025-11-26,2025-11-26,2025-11-26,1.0 cm predicted (dashed red),72.54901960784314,4.901960784313726,6.862745098039216,4.901960784313726,9.803921568627452,0.9803921568627451,0
Con3,3,2025-11-26,2025-11-26,2025-11-26,1.5 mm predicted (solid red),45.09803921568628,14.705882352941178,21.568627450980394,7.8431372549019605,10.784313725490197,0,0
Con3,3,2025-11-26,2025-11-26,2025-11-26,0 cm predicted (outside),58.387799564270146,16.775599128540307,16.33986928104575,3.9215686274509802,4.57516339869281,0,0
Con4,4,2025-12-05,2025-12-05,2025-12-05,1.0 cm predicted (dashed red),60.78431372549019,8.823529411764707,9.803921568627452,8.823529411764707,11.76470588235294,0,0
Con4,4,2025-12-05,2025-12-05,2025-12-05,1.5 mm predicted (solid red),45.09803921568628,15.686274509803921,20.588235294117645,7.8431372549019605,10.784313725490197,0,0
Con4,4,2025-12-05,2025-12-05,2025-12-05,0 cm predicted (outside),61.00217864923747,15.250544662309368,14.161220043572984,4.139433551198257,5.228758169934641,0.2178649237472767,0
Con5,5,2025-12-14,2025-12-14,2025-12-14,1.0 cm predicted (dashed red),78.43137254901961,9.803921568627452,3.9215686274509802,1.9607843137254901,5.88235294117647,0,0
Con5,5,2025-12-14,2025-12-14,2025-12-14,1.5 mm predicted (solid red),48.03921568627451,10.784313725490197,21.568627450980394,8.823529411764707,10.784313725490197,0,0
Con5,5,2025-12-14,2025-12-14,2025-12-14,0 cm predicted (outside),65.49019607843137,15.686274509803921,12.941176470588237,3.9215686274509802,1.9607843137254901,0,0
Con6,6,2025-12-29,2025-12-29,2025-12-29,1.0 cm predicted (dashed red),64.70588235294117,5.88235294117647,6.862745098039216,7.8431372549019605,13.725490196078432,0.9803921568627451,0
Con6,6,2025-12-29,2025-12-29,2025-12-29,1.5 mm predicted (solid red),41.17647058823529,8.823529411764707,26.47058823529412,13.725490196078432,9.803921568627452,0,0
Con6,6,2025-12-29,2025-12-29,2025-12-29,0 cm predicted (outside),62.96296296296296,13.507625272331156,16.775599128540307,3.0501089324618738,3.485838779956427,0.2178649237472767,0
Con7,7,2026-01-07,2026-01-07,2026-01-07,1.0 cm predicted (dashed red),56.86274509803921,4.901960784313726,11.76470588235294,8.823529411764707,17.647058823529413,0,0
Con7,7,2026-01-07,2026-01-07,2026-01-07,1.5 mm predicted (solid red),34.31372549019608,10.784313725490197,20.588235294117645,17.647058823529413,16.666666666666664,0,0
Con7,7,2026-01-07,2026-01-07,2026-01-07,0 cm predicted (outside),59.694989106753816,13.725490196078432,13.943355119825709,7.18954248366013,5.446623093681917,0,0
