survey,survey_n,survey_start_date,survey_end_date,survey_dates,model_sedimentation_class,pct_measured_below baseline,pct_measured_0 to 1.5 mm,pct_measured_>1.5 to 5 mm,pct_measured_>5 mm to 1 cm,pct_measured_1-5 cm,pct_measured_5-10 cm,pct_measured_>10 cm
Con8,8,2026-01-15,2026-01-17,"2026-01-15, 2026-01-17",1.0 cm predicted (dashed red),51.9607843137255,7.8431372549019605,8.823529411764707,9.803921568627452,20.588235294117645,0.9803921568627451,0
Con8,8,2026-01-15,2026-01-17,"2026-01-15, 2026-01-17",1.5 mm predicted (solid red),32.35294117647059,5.88235294117647,24.509803921568626,11.76470588235294,19.607843137254903,2.941176470588235,2.941176470588235
Con8,8,2026-01-15,2026-01-15,2026-01-15,0 cm predicted (outside),61.87363834422658,10.893246187363834,15.032679738562091,5.446623093681917,6.535947712418301,0.2178649237472767,0
Con9,9,2026-01-24,2026-01-24,2026-01-24,1.0 cm predicted (dashed red),48.03921568627451,7.8431372549019605,14.705882352941178,11.76470588235294,15.686274509803921,1.9607843137254901,0
Con9,9,2026-01-24,2026-01-24,2026-01-24,1.5 mm predicted (solid red),23.52941176470588,5.88235294117647,27.450980392156865,11.76470588235294,17.647058823529413,7.8431372549019605,5.88235294117647
Con9,9,2026-01-24,2026-01-24,2026-01-24,0 cm predicted (outside),53.37690631808278,10.239651416122005,18.736383442265794,8.714596949891067,8.932461873638346,0,0
Con10,10,2026-02-05,2026-02-05,2026-02-05,1.0 cm predicted (dashed red),40.19607843137255,6.862745098039216,16.666666666666664,10.784313725490197,24.509803921568626,0.9803921568627451,0
Con10,10,2026-02-05,2026-02-05,2026-02-05,1.5 mm predicted (solid red),43.13725490196079,11.76470588235294,17.647058823529413,13.725490196078432,13.725490196078432,0,0
Con10,10,2026-02-05,2026-02-05,2026-02-05,0 cm predicted (outside),57.73420479302832,11.982570806100219,16.55773420479303,6.1002178649237475,7.4074074074074066,0.2178649237472767,0
Con11,11,2026-02-12,2026-02-12,2026-02-12,1.0 cm predicted (dashed red),42.15686274509804,5.88235294117647,12.745098039215685,12.745098039215685,25.49019607843137,0.9803921568627451,0
Con11,11,2026-02-12,2026-02-12,2026-02-12,1.5 mm predicted (solid red),34.31372549019608,7.8431372549019605,25.49019607843137,16.666666666666664,15.686274509803921,0,0
Con11,11,2026-02-12,2026-02-12,2026-02-12,0 cm predicted (outside),55.33769063180828,15.468409586056644,15.468409586056644,6.971677559912854,6.535947712418301,0.2178649237472767,0
Con12,12,2026-02-20,2026-02-20,2026-02-20,1.0 cm predicted (dashed red),56.86274509803921,6.862745098039216,11.76470588235294,6.862745098039216,17.647058823529413,0,0
Con12,12,2026-02-20,2026-02-20,2026-02-20,1.5 mm predicted (solid red),28.431372549019606,10.784313725490197,31.372549019607842,11.76470588235294,14.705882352941178,2.941176470588235,0
Con12,12,2026-02-20,2026-02-20,2026-02-20,0 cm predicted (outside),59.912854030501094,14.596949891067537,15.468409586056644,5.228758169934641,4.793028322440087,0,0
Con20,20,2026-03-10,2026-03-10,2026-03-10,1.0 cm predicted (dashed red),59.80392156862745,5.88235294117647,12.745098039215685,4.901960784313726,16.666666666666664,0,0
Con20,20,2026-03-10,2026-03-10,2026-03-10,1.5 mm predicted (solid red),40.19607843137255,6.862745098039216,17.647058823529413,24.509803921568626,9.803921568627452,0.9803921568627451,0
Con20,20,2026-03-10,2026-03-10,2026-03-10,0 cm predicted (outside),55.55555555555556,12.418300653594772,19.172113289760347,7.18954248366013,5.664488017429194,0,0
Con22,22,2026-03-24,2026-03-24,2026-03-24,1.0 cm predicted (dashed red),61.76470588235294,6.862745098039216,12.745098039215685,7.8431372549019605,10.784313725490197,0,0
Con22,22,2026-03-24,2026-03-24,2026-03-24,1.5 mm predicted (solid red),39.21568627450981,9.803921568627452,30.392156862745097,8.823529411764707,9.803921568627452,1.9607843137254901,0
Con22,22,2026-03-24,2026-03-24,2026-03-24,0 cm predicted (outside),50.54466230936819,11.982570806100219,21.350762527233115,8.932461873638346,6.971677559912854,0.2178649237472767,0
Con24,24,2026-04-07,2026-04-07,2026-04-07,1.0 cm predicted (dashed red),62.745098039215684,5.88235294117647,12.745098039215685,6.862745098039216,11.76470588235294,0,0
Con24,24,2026-04-07,2026-04-07,2026-04-07,1.5 mm predicted (solid red),50,9.803921568627452,21.568627450980394,9.803921568627452,8.823529411764707,0,0
Con24,24,2026-04-07,2026-04-07,2026-04-07,0 cm predicted (outside),59.55882352941176,13.23529411764706,15.686274509803921,5.637254901960785,5.88235294117647,0,0
Con25,25,2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",1.0 cm predicted (dashed red),65.68627450980392,4.901960784313726,12.745098039215685,4.901960784313726,11.76470588235294,0,0
Con25,25,2026-04-17,2026-04-17,2026-04-17,1.5 mm predicted (solid red),59.80392156862745,11.76470588235294,20.588235294117645,3.9215686274509802,3.9215686274509802,0,0
Con25,25,2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",0 cm predicted (outside),64.27015250544662,15.904139433551197,11.546840958605664,3.0501089324618738,5.228758169934641,0,0
