survey,survey_n,model_sedimentation_class,threshold_cm,threshold_label,transect,n_meters,positive_meter_positions,negative_meter_positions,positive_area,negative_area,net_positive_area
Con1,1,0 cm predicted (outside),0.15,0.15 cm (1.5 mm),ST1,51,14,25,0.27450980392156865,0.49019607843137253,-0.21568627450980388
Con1,1,0 cm predicted (outside),0.5,0.5 cm,ST1,51,9,16,0.17647058823529413,0.3137254901960784,-0.1372549019607843
Con1,1,0 cm predicted (outside),1,1.0 cm,ST1,51,4,5,0.0784313725490196,0.09803921568627451,-0.0196078431372549
Con1,1,0 cm predicted (outside),0.15,0.15 cm (1.5 mm),ST2,51,13,30,0.2549019607843137,0.5882352941176471,-0.33333333333333337
Con1,1,0 cm predicted (outside),0.5,0.5 cm,ST2,51,6,22,0.11764705882352941,0.43137254901960786,-0.3137254901960784
Con1,1,0 cm predicted (outside),1,1.0 cm,ST2,51,1,14,0.0196078431372549,0.27450980392156865,-0.25490196078431376
Con1,1,1.0 cm predicted (dashed red),0.15,0.15 cm (1.5 mm),ST22,51,13,34,0.2549019607843137,0.6666666666666666,-0.4117647058823529
Con1,1,1.0 cm predicted (dashed red),0.5,0.5 cm,ST22,51,7,25,0.13725490196078433,0.49019607843137253,-0.3529411764705882
Con1,1,1.0 cm predicted (dashed red),1,1.0 cm,ST22,51,3,17,0.058823529411764705,0.3333333333333333,-0.2745098039215686
Con1,1,1.5 mm predicted (solid red),0.15,0.15 cm (1.5 mm),ST28,51,21,25,0.4117647058823529,0.49019607843137253,-0.0784313725490196
Con1,1,1.5 mm predicted (solid red),0.5,0.5 cm,ST28,51,11,18,0.21568627450980393,0.35294117647058826,-0.13725490196078433
Con1,1,1.5 mm predicted (solid red),1,1.0 cm,ST28,51,6,6,0.11764705882352941,0.11764705882352941,0
Con1,1,1.0 cm predicted (dashed red),0.15,0.15 cm (1.5 mm),ST31,51,16,34,0.3137254901960784,0.6666666666666666,-0.3529411764705882
Con1,1,1.0 cm predicted (dashed red),0.5,0.5 cm,ST31,51,12,30,0.23529411764705882,0.5882352941176471,-0.35294117647058826
